GeneID,P-value,Significant,TrueDeltaSame,TrueDeltaDiff,
gene-WDR12,0.049783549783549784,yes,0.026,0.041
gene-MRAS,0.047619047619047616,yes,0.013,0.025
gene-IGF2,0.012987012987012988,yes,0.01,0.035
gene-NDUFS3,0.0021645021645021645,yes,-0.004,0.043
gene-NFKBIA,0.0021645021645021645,yes,0.004,0.077
gene-FOS,0.030303030303030304,yes,0.007,0.039
gene-HSP90AA1,0.012987012987012988,yes,0.014,0.043
gene-XRCC3,0.012987012987012988,yes,0.025,0.074
gene-HSPA2,0.012987012987012988,yes,-0.001,0.014
gene-HIF1A,0.023809523809523808,yes,0.018,0.066
gene-NDUFA13,0.025974025974025976,yes,0.009,0.025
gene-ATP5F1D,0.02813852813852814,yes,0.019,0.032
gene-GADD45B,0.01948051948051948,yes,0.044,0.087
gene-LOC116502538,0.025974025974025976,yes,0.018,0.03
gene-ATP5F1B,0.01948051948051948,yes,0.018,0.043
gene-NR4A1,0.01948051948051948,yes,0.023,0.058
gene-LOC116503018,0.03896103896103896,yes,0.026,0.054
gene-SPATA20,0.010822510822510822,yes,0.034,0.075
gene-GPX3,0.0021645021645021645,yes,0.031,0.069
gene-VHL,0.010822510822510822,yes,0.017,0.06
gene-PXDN,0.012987012987012988,yes,0.017,0.035
gene-NDUFB6,0.006493506493506494,yes,0.031,0.152
gene-PSAT1,0.0021645021645021645,yes,0.023,0.102
gene-CTSL,0.01948051948051948,yes,0.021,0.038
gene-LOC116506575,0.008658008658008658,yes,0.0,0.036
gene-PIK3R1,0.04112554112554113,yes,0.038,0.069
gene-MAP3K1,0.012987012987012988,yes,0.011,0.034
gene-GHR,0.045454545454545456,yes,0.019,0.039
gene-FOXO3,0.0021645021645021645,yes,0.034,0.103
gene-HSF2,0.03896103896103896,yes,0.064,0.112
gene-SOD2,0.015151515151515152,yes,0.025,0.049
gene-IGF2R,0.015151515151515152,yes,0.023,0.041
gene-LOC116507754,0.021645021645021644,yes,0.005,0.042
gene-MPO,0.023809523809523808,yes,-0.029,0.008
gene-NRAS,0.004329004329004329,yes,0.007,0.043
gene-HSPH1,0.012987012987012988,yes,-0.002,0.023
gene-ALCAM,0.0021645021645021645,yes,0.009,0.059
gene-HSPA13,0.0021645021645021645,yes,-0.002,0.034
gene-NDUFV3,0.017316017316017316,yes,-0.02,0.045
gene-LOC116510618,0.004329004329004329,yes,-0.002,0.04
gene-AMDHD1,0.025974025974025976,yes,0.027,0.048
gene-GDAP1,0.006493506493506494,yes,0.024,0.073
gene-RAD54B,0.008658008658008658,yes,-0.004,0.021
gene-MYC,0.032467532467532464,yes,0.011,0.02
gene-PYROXD2,0.004329004329004329,yes,0.016,0.073
gene-GIGYF2,0.0021645021645021645,yes,0.031,0.095
gene-D2HGDH,0.015151515151515152,yes,0.041,0.105
gene-PRDX6,0.010822510822510822,yes,0.009,0.019
gene-FOXA3,0.01948051948051948,yes,-0.003,0.013
gene-LOC116515182,0.04329004329004329,yes,0.012,0.022
gene-NR0B2,0.023809523809523808,yes,0.016,0.041
gene-PGK1,0.02813852813852814,yes,0.007,0.019
gene-IRS4,0.015151515151515152,yes,0.019,0.047
gene-AACS,0.004329004329004329,yes,-0.095,-0.024
gene-LOC116516566,0.047619047619047616,yes,0.01,0.034
gene-HSPA8,0.015151515151515152,yes,0.019,0.032
gene-SDHD,0.04329004329004329,yes,0.008,0.016
gene-LOC116517450,0.032467532467532464,yes,0.025,0.036
gene-PDPK1,0.04329004329004329,yes,-0.001,0.012
gene-LOC116519097,0.030303030303030304,yes,0.009,0.02
gene-RIT1,0.012987012987012988,yes,-0.003,0.009
gene-CCS,0.008658008658008658,yes,0.028,0.068
gene-VIPR1,0.03896103896103896,yes,0.042,0.079
gene-KMT2C,0.017316017316017316,yes,0.028,0.05
gene-IGFBP3,0.0021645021645021645,yes,0.017,0.126
