GeneID,P-value,Significant,TrueDeltaSame,TrueDeltaDiff,
gene-NDUFS1,0.44372294372294374,no,0.485,0.476
gene-WDR12,1.0,no,0.051,0.052
gene-NDUFB3,0.6796536796536796,no,0.195,0.193
gene-NR4A2,0.16666666666666666,no,0.078,0.08
gene-GSTP1,1.0,no,0.073,0.073
gene-NDUFV1,1.0,no,0.035,0.035
gene-SIRT3,0.7835497835497836,no,0.066,0.065
gene-DRD4,0.7748917748917749,no,0.493,0.496
gene-IGF2,0.032467532467532464,yes,0.316,0.352
gene-PIK3C2A,0.6515151515151515,no,0.146,0.147
gene-LOC116513013,0.010822510822510822,yes,0.189,0.2
gene-CCND1,1.0,no,0.023,0.023
gene-LOC116514261,0.08441558441558442,no,0.171,0.178
gene-LOC116505938,1.0,no,0.078,0.078
gene-NFKBIA,0.006493506493506494,yes,0.214,0.245
gene-FOXA1,0.16666666666666666,no,0.362,0.369
gene-FOS,0.06277056277056277,no,0.348,0.373
gene-TSHR,1.0,no,0.111,0.111
gene-FOXN3,0.1406926406926407,no,0.421,0.431
gene-RPS6KA5,1.0,no,0.041,0.042
gene-XRCC3,0.3398268398268398,no,0.125,0.129
gene-HIF1A,1.0,no,0.075,0.075
gene-PIK3R2,0.5800865800865801,no,0.407,0.403
gene-INSR,1.0,no,0.067,0.067
gene-NDUFA11,0.9653679653679653,no,0.299,0.298
gene-ATP5F1D,0.5670995670995671,no,0.011,0.017
gene-GPX4,1.0,no,0.204,0.204
gene-SIRT6,0.9090909090909091,no,0.132,0.131
gene-GADD45B,0.010822510822510822,yes,0.312,0.36
gene-LOC116502538,0.18181818181818182,no,0.036,0.037
gene-CC2D1A,0.841991341991342,no,0.506,0.502
gene-AVPR2,1.0,no,0.047,0.047
gene-ATP5MC2,0.8766233766233766,no,0.392,0.389
gene-ATP5F1B,1.0,no,0.012,0.012
gene-NR4A1,1.0,no,0.012,0.012
gene-DNAJC22,0.04112554112554113,yes,0.132,0.136
gene-SOX9,1.0,no,0.09,0.092
gene-SIRT7,1.0,no,0.008,0.008
gene-SPATA20,0.004329004329004329,yes,0.473,0.529
gene-ATP5PD,0.9567099567099567,no,0.127,0.128
gene-FOXJ1,0.79004329004329,no,0.205,0.208
gene-PIK3R5,0.7619047619047619,no,0.455,0.46
gene-PIK3R6,0.27705627705627706,no,0.493,0.486
gene-PRDX2,1.0,no,0.041,0.041
gene-ADRB2,0.8203463203463204,no,0.318,0.321
gene-HSPA4,0.9567099567099567,no,0.123,0.124
gene-CATSPER3,0.05411255411255411,no,0.183,0.199
gene-CD74,1.0,no,0.24,0.24
gene-GPX3,0.047619047619047616,yes,0.291,0.306
gene-GPX1,0.06926406926406926,no,0.461,0.49
gene-RBM15B,0.9675324675324676,no,0.1,0.101
gene-RAF1,0.670995670995671,no,0.171,0.169
gene-LOC116503820,0.4696969696969697,no,0.493,0.501
gene-VHL,1.0,no,0.02,0.02
gene-LOC116503405,1.0,no,0.019,0.019
gene-PXDN,1.0,no,0.025,0.025
gene-FOXO1,0.8354978354978355,no,0.394,0.392
gene-GAPDH,1.0,no,0.092,0.092
gene-IGFBP7,1.0,no,0.064,0.064
gene-DNAJA1,1.0,no,0.033,0.034
gene-NDUFB6,1.0,no,0.038,0.038
gene-TYRP1,0.45454545454545453,no,0.045,0.044
gene-JAK2,0.8268398268398268,no,0.197,0.202
gene-ISCA1,1.0,no,0.045,0.045
gene-RASA1,1.0,no,0.009,0.009
gene-LOC116506575,1.0,no,0.021,0.022
gene-MAP3K1,1.0,no,0.051,0.051
gene-DDX4,1.0,no,0.017,0.013
gene-DHX29,1.0,no,0.02,0.02
gene-NDUFS4,1.0,no,0.256,0.256
gene-GHR,0.7294372294372294,no,0.499,0.503
gene-ATP5F1A,0.023809523809523808,yes,0.296,0.305
gene-LOC116506537,0.6406926406926406,no,0.503,0.5
gene-LOC116507099,0.7640692640692641,no,0.464,0.467
gene-GSTA1,1.0,no,0.117,0.117
gene-LOC116507918,1.0,no,0.025,0.019
gene-IGF2R,0.18181818181818182,no,0.099,0.102
gene-LOC116507992,1.0,no,0.063,0.063
gene-FOXN2,0.8268398268398268,no,0.083,0.082
gene-MSRA,1.0,no,0.025,0.026
gene-MPO,1.0,no,0.058,0.058
